ref,book_osis,chapter,verse_start,verse_end,kjv_text,cuvs_text,mention_groups_count,source_count,sources,evidence
1Cor 1:8,1Cor,1,8,8,,他也必堅固你們到底，叫你們在我們主耶穌基督的日子無可責備。,1,1,https://www.biblicaltheology.org/ent.pdf,"- ent (para_id=166, p_index=10): V. The Parousia 1. Definition: The word denotes “coming,” “arrival.” It is never applied to the incarnation of Christ, and could be applied to His second coming only, partly because it had already become a fixed Messianic term, partly because there was a point of view from which the future appearance of Jesus appeared the sole adequate expression of His Messianic dignity and glory. The explicit distinction between “first advent” and “second advent” is not found in the New Testament. It occurs in Testament of the Twelve Patriarchs, Testament of Abraham 92:16. In the New Testament it is approached in Hebrews 9:28 and in the use of epiphaneia for both the past appearance of Christ and His future manifestation (2 Thessalonians 2:8; 1 Timothy 6:14; 2 Timothy 1:10; 4:1; Titus 2:11, 13). The Chri …
- ent (para_id=190, p_index=34): VIII. The Judgment The judgment takes place on a “day” (Matthew 7:22; 10:15; 24:36; Luke 10:12; 21:34; 1 Corinthians 1:8; 3:13; 2 Timothy 4:8; Revelation 6:17), but this rests on the Old Testament conception of “the day of Yahweh,” and is not to be taken literally, whence also “hour” interchanges with “day” (Mark 13: 32; Revelation 14:7). While not confined to an astronomical day the judgment is plainly represented as a definitely circumscribed transaction, not as an indefinite process. It coincides with its parousia. Of a judgment immediately after death, the New Testament nowhere speaks, not even in Hebrews 9:27, 28. Its locality is the earth, as would seem to follow from its dependence on the parousia (Matthew 13:41, 42; Mark 13:26, 27), although some infer from 1 Thessalonians 4:17 tha …"
1Cor 1:20,1Cor,1,20,20,,智慧人在那裏？文士在那裏？這世上的辯士在那裏？神豈不是叫這世上的智慧變成愚拙嗎？,1,1,https://www.biblicaltheology.org/ent.pdf,"- ent (para_id=162, p_index=6): III. Course of Development In New Testament eschatological teaching a general development in a well-defined direction is traceable. The starting-point is the historico-dramatic conception of the two successive ages. These two ages are distinguished as houtos ho aion, ho nun aion, ho enesios aion, “this age,” “the present age” (Matthew 12:32; 13:22; Luke 16:8; Romans 12:2; 1 Corinthians 1:20; 2:6, 8; 3:18; 2 Corinthians 4:4; Galatians 1:4; Ephesians 1:21; 2:2; 6:12; 1 Timothy 6:17; 2 Timothy 4:10; Titus 2:12), and ho aion ekeinos, ho aion mellon, ho aion erchomenos, “that age,” “the future age” (Matthew 12:32; Luke 18: 30; 20:35; Ephesians 2:7; Hebrews 6:5). In Jewish literature before the New Testament, no instances of the developed antithesis between these two ages seem to be found, but f …"
1Cor 1:30,1Cor,1,30,30,,但你們得在基督耶穌裏，是本乎神，神又使他成為我們的智慧、公義、聖潔、救贖。,1,1,https://www.biblicaltheology.org/pcred.pdf,"- pcred (para_id=518, p_index=1): “The Pauline Conception of Redemption” The Bible Student 5:51-58. [1902] In a previous number of The Bible Student we examined the Pauline conception of reconciliation, which we found to belong to the military sphere, its result being conceived by the apostle as peace. The conception now before us belongs to the commercial sphere. Of course, underneath both lies the more fundamental forensic mode of viewing the work of Christ, which corresponds to the Pauline idea of righteousness. It will be most correct, therefore, to speak of the military-forensic and the commercial-forensic representations given by the apostle of Christ’s objective saving work. We must remember that in the ancient world reduction to slavery as a consequence of guilt or debt was quite common. The terms which Paul uses t …
- pcred (para_id=518, p_index=1): “The Pauline Conception of Redemption” The Bible Student 5:51-58. [1902] In a previous number of The Bible Student we examined the Pauline conception of reconciliation, which we found to belong to the military sphere, its result being conceived by the apostle as peace. The conception now before us belongs to the commercial sphere. Of course, underneath both lies the more fundamental forensic mode of viewing the work of Christ, which corresponds to the Pauline idea of righteousness. It will be most correct, therefore, to speak of the military-forensic and the commercial-forensic representations given by the apostle of Christ’s objective saving work. We must remember that in the ancient world reduction to slavery as a consequence of guilt or debt was quite common. The terms which Paul uses t …"
1Cor 2:4,1Cor,2,4,4,,我說的話、講的道，不是用智慧委婉的言語，乃是用聖靈和大能的明證，,1,1,https://www.biblicaltheology.org/omnipotence.pdf,"- omnipotence (para_id=441, p_index=2): impotent idols (1 Samuel 17:26, 36; 2 Kings 19:4, 16; Psalm 18:46; Jeremiah 23:36; Daniel 6:20, 26). An anthropomorphic description of the power of God is in the figures of “hand,” His “arm,” His “finger.” See “God.” 3. Other Modes of Expression: Some of the attributes of Yahweh have an intimate connection with His omnipotence. Under this head especially God’s nature as Spirit and His holiness come under consideration. The representation of God as Spirit in the Old Testament does not primarily refer to the incorporealness of the divine nature, but to its inherent energy. The physical element underlying the conception of Spirit is that of air in motion, and in this at first not the invisibility but the force forms the point of comparison. The opposite of “Spirit” in this sense is “flesh,” w …"
1Cor 2:6,1Cor,2,6,6,,然而，在完全的人中，我們也講智慧。但不是這世上的智慧，也不是這世上有權有位、將要敗亡之人的智慧。,1,1,https://www.biblicaltheology.org/tp.pdf,"- tp (para_id=725, p_index=3): antagonism of the will and of the affections. As a psychological explanation of the conversion it appears extremely implausible. But the mere fact that such a theory could be in all seriousness proposed and worked out with a degree of verisimilitude shows how potent a force the theologizing habit must have been in Paul’s mental make-up. It is well to remember this, because at the present day, the opposite tendency, which sees in the apostle not primarily the man of the intellect, but the man of the will, the missionary, the organizer, the religious enthusiast, and explains his theology out of his experience as a Christian, has and is likely for some time to hold the upper hand. Of course this also represents an important aspect of Paul’s many-sided equipment, but carried to an extreme it i …"
1Cor 2:8,1Cor,2,8,8,,這智慧世上有權有位的人沒有一個知道的、他們若知道，就不把榮耀的主釘在十字架上了。,1,1,https://www.biblicaltheology.org/pcred.pdf,"- pcred (para_id=520, p_index=3): qualify the statement, but because he wished to strengthen and generalize it, did he choose the noun instead of the adjective.4 Moreover, the quotation from Deuteronomy proves that he was ready to apply the adjective to Christ. Ritschl has attempted in yet a different way to relieve the harshness of the expression. He thinks Paul distinguished between the curse of the law and the curse of God, and appeals to verse 19 in proof of this distinction. But, although the law is here said to have been ordained through angels, this by no means alters the fact that God is its ultimate source.5 Besides this, the agency of the angels in the original promulgation of the law does not involve that they are also the agents for enforcing it, i.e., the originators of the curse. There is no evidence that Pau …"
1Cor 2:12,1Cor,2,12,12,,我們所領受的，並不是世上的靈，乃是從神來的靈，叫我們能知道神開恩賜給我們的事。,1,1,https://www.biblicaltheology.org/eapcs.pdf,"- eapcs (para_id=141, p_index=25): recipient of revelation, but for the further and more specific reason, that he already partakes of that which is the distinctive quality of the future life, can he be initiated into the mysteries of the latter. The Spirit is the source of the eschatological musthrion both in the sphere of being and in the sphere of revelation. Hence also in verse 11 Paul draws a formal distinction between the pneuma of the kosmoj and the pneuma to ek tou qeou, which once more shows that the Spirit is considered not exclusively as a principium revelationis, but as the determining principle of an order of things, and therefore as the natural organ for disclosing its content.49 The passage also furnishes a parallel to the eschatological interpretation of the contrast between yucikoj and pneumatikoj met with i …
- eapcs (para_id=142, p_index=26): of believers, enabling them to behold the glory of Christ in the gospel, so the false god of the present age has a counter-spirit at work (or is a counter-spirit), which blinds the minds of the unbelieving that the light of the gospel of the glory of Christ should not dawn upon them. Here both the conception of doxa as the content of the gospel and the parallelism between the first and the second creation in verse 6 impart an unmistakable eschatological flavor to the comparison. Where the thought of the wisdom-passage in 1 Corinthians 2 recurs later in Colossians 2:2ff. with many striking reminiscences even as to form, the contrast becomes one purely between Christ and the spirits, and the conception of the pneuma tou kosmou in its opposition to the pneuma to ek tou qeou does not reappear. …"
1Cor 2:14,1Cor,2,14,14,,然而，屬血氣的人不領會神聖靈的事，反倒以為愚拙，並且不能知道，因為這些事惟有屬靈的人纔能看透。,1,1,https://ia801301.us.archive.org/0/items/InterpretingTheBible/InterpretingTheBible--Revision2.pdf,"- InterpretingTheBible--Revision2 (para_id=239, p_index=18): a. This rule is developed from the first one. Sinful man is inclined to disagree with the Word of God. 1 Corinthians 2:14 teaches that regeneration is necessary to properly interpret the Scripture. The unspiritual man does not grasp the things of the Spirit. The dangers of giving one's own interpretation can be seen in Scripture with the Pharisees and their understanding works of the law as a means to obtain righteousness with God. Another example is seen with the Sadducees and their rejection of the resurrection. We must not spiritualize or rationalize Scripture so as to make it say what fits with our own system.
- InterpretingTheBible--Revision2 (para_id=266, p_index=45): b. The Holy Scripture is the revelation of the Word of God. Apart from God's regenerating work, human minds are sinful and do not understand the things of the Spirit, 1 Corinthians 2:14, 4:18. ""This is the verdict: Light has come into the world, but men loved darkness instead of light because their deeds were evil."" (John 3:19, cf. 7:17, 8:31-32, 18:37, 5:40). Placing other sources beside or above Scripture is in conflict with what Scripture says about itself as the self-revelation of God.
- InterpretingTheBible--Revision2 (para_id=342, p_index=18): a. This rule is developed from the first one. Sinful man is inclined to disagree with the Word of God. 1 Corinthians 2:14 teaches that regeneration is necessary to properly interpret the Scripture. The unspiritual man does not grasp the things of the Spirit. The dangers of giving one's own interpretation can be seen in Scripture with the Pharisees and their understanding works of the law as a means to obtain righteousness with God. Another example is seen with the Sadducees and their rejection of the resurrection. We must not spiritualize or rationalize Scripture so as to make it say what fits with our own system.
- InterpretingTheBible--Revision2 (para_id=369, p_index=45): b. The Holy Scripture is the revelation of the Word of God. Apart from God's regenerating work, human minds are sinful and do not understand the things of the Spirit, 1 Corinthians 2:14, 4:18. ""This is the verdict: Light has come into the world, but men loved darkness instead of light because their deeds were evil."" (John 3:19, cf. 7:17, 8:31-32, 18:37, 5:40). Placing other sources beside or above Scripture is in conflict with what Scripture says about itself as the self-revelation of God."
1Cor 3:8,1Cor,3,8,8,,栽種的和澆灌的，都是一樣，但將來各人要照自己的工夫得自己的賞賜。,1,1,https://www.biblicaltheology.org/ent.pdf,"- ent (para_id=191, p_index=35): 10). In the Fourth Gospel, it is true, He denies that His present activity involves the task of judging (John 8:15; 12:47). That this, however, does not exclude His eschatological judgeship appears from John 5:22, 27 (notice the article in 5:22 “the whole judgment,” which proves the reference to the last day). But even for the present, though not directly, yet indirectly by His appearance and message, Christ according to John effects a judgment among men (8:16; 9:39), which culminates in His passion and death, the judgment of the world and the Prince of the world (12:31; 14:30; 16:11). A share of the judgment is assigned to angels and to the saints (Matthew 13:39, 41, 49; 16:27; 24:31; 25:31; 1 Thessalonians 3:13; 2 Thessalonians 1:7; Jude 1:14). In regard to the angels this is purely mini …"
1Cor 3:13,1Cor,3,13,13,,各人的工程必然顯露，因為那日子要將他表明出來，有火發現；這火要試驗各人的工程怎樣。,1,1,https://www.biblicaltheology.org/ent.pdf,"- ent (para_id=191, p_index=35): 10). In the Fourth Gospel, it is true, He denies that His present activity involves the task of judging (John 8:15; 12:47). That this, however, does not exclude His eschatological judgeship appears from John 5:22, 27 (notice the article in 5:22 “the whole judgment,” which proves the reference to the last day). But even for the present, though not directly, yet indirectly by His appearance and message, Christ according to John effects a judgment among men (8:16; 9:39), which culminates in His passion and death, the judgment of the world and the Prince of the world (12:31; 14:30; 16:11). A share of the judgment is assigned to angels and to the saints (Matthew 13:39, 41, 49; 16:27; 24:31; 25:31; 1 Thessalonians 3:13; 2 Thessalonians 1:7; Jude 1:14). In regard to the angels this is purely mini …
- ent (para_id=191, p_index=35): 10). In the Fourth Gospel, it is true, He denies that His present activity involves the task of judging (John 8:15; 12:47). That this, however, does not exclude His eschatological judgeship appears from John 5:22, 27 (notice the article in 5:22 “the whole judgment,” which proves the reference to the last day). But even for the present, though not directly, yet indirectly by His appearance and message, Christ according to John effects a judgment among men (8:16; 9:39), which culminates in His passion and death, the judgment of the world and the Prince of the world (12:31; 14:30; 16:11). A share of the judgment is assigned to angels and to the saints (Matthew 13:39, 41, 49; 16:27; 24:31; 25:31; 1 Thessalonians 3:13; 2 Thessalonians 1:7; Jude 1:14). In regard to the angels this is purely mini …"
1Cor 3:15,1Cor,3,15,15,,人的工程若被燒了，他就要受虧損，自己卻要得救；雖然得救，乃像從火裏經過的一樣。,1,1,https://www.biblicaltheology.org/ent.pdf,"- ent (para_id=191, p_index=35): 10). In the Fourth Gospel, it is true, He denies that His present activity involves the task of judging (John 8:15; 12:47). That this, however, does not exclude His eschatological judgeship appears from John 5:22, 27 (notice the article in 5:22 “the whole judgment,” which proves the reference to the last day). But even for the present, though not directly, yet indirectly by His appearance and message, Christ according to John effects a judgment among men (8:16; 9:39), which culminates in His passion and death, the judgment of the world and the Prince of the world (12:31; 14:30; 16:11). A share of the judgment is assigned to angels and to the saints (Matthew 13:39, 41, 49; 16:27; 24:31; 25:31; 1 Thessalonians 3:13; 2 Thessalonians 1:7; Jude 1:14). In regard to the angels this is purely mini …"
1Cor 4:3,1Cor,4,3,3,,我被你們論斷，或被別人論斷，我都以為極小的事；連我自己也不論斷自己。,1,1,https://www.biblicaltheology.org/ent.pdf,"- ent (para_id=166, p_index=10): V. The Parousia 1. Definition: The word denotes “coming,” “arrival.” It is never applied to the incarnation of Christ, and could be applied to His second coming only, partly because it had already become a fixed Messianic term, partly because there was a point of view from which the future appearance of Jesus appeared the sole adequate expression of His Messianic dignity and glory. The explicit distinction between “first advent” and “second advent” is not found in the New Testament. It occurs in Testament of the Twelve Patriarchs, Testament of Abraham 92:16. In the New Testament it is approached in Hebrews 9:28 and in the use of epiphaneia for both the past appearance of Christ and His future manifestation (2 Thessalonians 2:8; 1 Timothy 6:14; 2 Timothy 1:10; 4:1; Titus 2:11, 13). The Chri …"
1Cor 4:3-5,1Cor,4,3,5,,我被你們論斷，或被別人論斷，我都以為極小的事；連我自己也不論斷自己。 我雖不覺得自己有錯，卻也不能因此得以稱義；但判斷我的乃是主。 所以，時候未到，甚麼都不要論斷，只等主來，他要照出暗中的隱情，顯明人心的意念。那時，各人要從神那裏得着稱讚。,1,1,https://www.biblicaltheology.org/ent.pdf,"- ent (para_id=190, p_index=34): VIII. The Judgment The judgment takes place on a “day” (Matthew 7:22; 10:15; 24:36; Luke 10:12; 21:34; 1 Corinthians 1:8; 3:13; 2 Timothy 4:8; Revelation 6:17), but this rests on the Old Testament conception of “the day of Yahweh,” and is not to be taken literally, whence also “hour” interchanges with “day” (Mark 13: 32; Revelation 14:7). While not confined to an astronomical day the judgment is plainly represented as a definitely circumscribed transaction, not as an indefinite process. It coincides with its parousia. Of a judgment immediately after death, the New Testament nowhere speaks, not even in Hebrews 9:27, 28. Its locality is the earth, as would seem to follow from its dependence on the parousia (Matthew 13:41, 42; Mark 13:26, 27), although some infer from 1 Thessalonians 4:17 tha …"
1Cor 4:5,1Cor,4,5,5,,所以，時候未到，甚麼都不要論斷，只等主來，他要照出暗中的隱情，顯明人心的意念。那時，各人要從神那裏得着稱讚。,1,1,https://www.biblicaltheology.org/ent.pdf,"- ent (para_id=191, p_index=35): 10). In the Fourth Gospel, it is true, He denies that His present activity involves the task of judging (John 8:15; 12:47). That this, however, does not exclude His eschatological judgeship appears from John 5:22, 27 (notice the article in 5:22 “the whole judgment,” which proves the reference to the last day). But even for the present, though not directly, yet indirectly by His appearance and message, Christ according to John effects a judgment among men (8:16; 9:39), which culminates in His passion and death, the judgment of the world and the Prince of the world (12:31; 14:30; 16:11). A share of the judgment is assigned to angels and to the saints (Matthew 13:39, 41, 49; 16:27; 24:31; 25:31; 1 Thessalonians 3:13; 2 Thessalonians 1:7; Jude 1:14). In regard to the angels this is purely mini …"
1Cor 4:20,1Cor,4,20,20,,因為神的國不在乎言語，乃在乎權能。,1,1,https://www.biblicaltheology.org/ent.pdf,"- ent (para_id=194, p_index=38): Jesus, while making the kingdom a present reality, yet continues to speak of it in accordance with its original eschatological usage as “the kingdom” which lies in the future (Matthew 13:43; 25:34; 26:29; Mark 9:47; Luke 12:32; 13:28, 29; 21:31). With Paul the phrase bears preponderatingly an eschatological sense, although occasionally he uses it of the present state of believers (Romans 14: 17; 1 Corinthians 4:20; 6:9, 10; 15:24, 50; Galatians 5:21; Ephesians 5:5; Colossians 1:13; 4:11; 1 Thessalonians 2:12; 2 Thessalonians 1:5; 2 Timothy 4:1, 18). Elsewhere in the New Testament the eschatological use occurs in Hebrews 12:28; James 2:5; 2 Peter 1:11; Revelation 11:15. The idea is universalistic, unpolitical, which does not exclude that certain privileges are spoken of with special referen …"
1Cor 5:5,1Cor,5,5,5,,要把這樣的人交給撒但，敗壞他的肉體，使他的靈魂在主耶穌的日子可以得救。,1,1,https://www.biblicaltheology.org/ent.pdf,"- ent (para_id=190, p_index=34): VIII. The Judgment The judgment takes place on a “day” (Matthew 7:22; 10:15; 24:36; Luke 10:12; 21:34; 1 Corinthians 1:8; 3:13; 2 Timothy 4:8; Revelation 6:17), but this rests on the Old Testament conception of “the day of Yahweh,” and is not to be taken literally, whence also “hour” interchanges with “day” (Mark 13: 32; Revelation 14:7). While not confined to an astronomical day the judgment is plainly represented as a definitely circumscribed transaction, not as an indefinite process. It coincides with its parousia. Of a judgment immediately after death, the New Testament nowhere speaks, not even in Hebrews 9:27, 28. Its locality is the earth, as would seem to follow from its dependence on the parousia (Matthew 13:41, 42; Mark 13:26, 27), although some infer from 1 Thessalonians 4:17 tha …"
1Cor 5:7,1Cor,5,7,7,,你們既是無酵的麵，應當把舊酵除淨，好使你們成為新團；因為我們逾越節的羔羊基督已經被殺獻祭了。,1,1,https://www.biblicaltheology.org/sipda.pdf,"- sipda (para_id=716, p_index=2): the sacrificial idea in Paul’s mind by the scarcity of explicit sacrificial language in his writings. But the question may be raised whether the passages which contain the idea of sacrifice more or less explicitly are actually so few in number as Weiss and others would have us believe. First of all we have the classical passage, Romans 3:25, 26. Next the words quoted by the apostle from the institution of the Supper, in which the blood of Christ is represented as sacrificial blood inaugurating the new covenant, in contrast with the blood of sacrifice sprinkled by Moses on the altar and people on the occasion of ratifying the Sinaitic covenant (1 Cor. 11:25). Further, in 1 Corinthians 5:7 Paul compares Christ to the ancient passover and in this comparison explicitly affirms the sacrificial …"
