ref,book_osis,chapter,verse_start,verse_end,kjv_text,cuvs_text,has_commentary,summary_en,summary_zh,bullet_points_en,bullet_points_zh,sources,evidence,model,prompt_version,created_at,status,error,keep_drop,my_edit_en,my_edit_zh,notes
1Cor 1:8,1Cor,1,8,8,,他也必堅固你們到底，叫你們在我們主耶穌基督的日子無可責備。,1,"The phrase “the day of our Lord Jesus Christ” in 1 Cor 1:8 is identified with the Old Testament “day of Yahweh,” now applied to Christ. In the New Testament this “day” functions as a synonym for the eschatological judgment, coincides with Christ’s parousia, and denotes a definite, climactic event rather than a literal 24-hour day. The judgment is portrayed as God’s work and also Christ’s, hence the expression “day of the Lord (Jesus).”",林前1:8中的“我们主耶稣基督的日子”承接旧约“耶和华的日子”的概念，并在新约中应用于基督。此“日子”等同于末世审判之日，与基督的再临相吻合，是一个明确界定的终局性事件，而非必然指24小时的一天。新约将审判既归于神也归于基督，因此称为“主（耶稣基督）的日子”。,"[""“The day of (our) Lord” in 1 Cor 1:8 derives from the OT “day of Yahweh” and is applied to Christ in the NT."", ""This “day” serves as a synonym for the eschatological judgment."", ""It coincides with Christ’s parousia and is a definite, circumscribed event, not necessarily a literal 24-hour day."", ""Judgment is God’s and also Christ’s work, hence the NT language “day of the Lord (Jesus).”""]","[""林前1:8的“主的日子”源自旧约“耶和华的日子”，在新约中应用于基督。"", ""此“日子”等同末世审判之日。"", ""它与基督的再临同时发生，是一个明确界定的事件，不一定是24小时的一天。"", ""审判既属神也属基督，因此称为“主（耶稣）的日子”。""]",ent — https://www.biblicaltheology.org/ent.pdf,"- para_id=166, p_index=10: Identifies “the day of (our) Lord” as an OT-derived expression used for the parousia/judgment and lists 1 Cor 1:8 among the references.",,,,,,keep,,,
  ent | https://www.biblicaltheology.org/ent.pdf,,,,,,,,,,,,,,,,,,,,Lu Zhu in my_edit_en,,
  V. The Parousia 1. Definition: The word denotes “coming,” “arrival.” It is never applied to the incarnation of Christ, and could be applied to His second coming only, partly because it had already become a fixed Messianic term, partly because there was a point of view from which the future appearance of Jesus appeared the sole adequate expression of His Messianic dignity and glory. The explicit distinction between “first advent” and “second advent” is not found in the New Testament. It occurs in …,,,,,,,,,,,,,,,,,,
#NAME?, p_index=34: Explains that judgment takes place on a ‘day,’ not necessarily a literal day, coinciding with the parousia, and notes the NT shift to “the day of the Lord (Jesus),” citing 1 Cor 1:8.,,,,,,,,,,,,,,,,,
  ent | https://www.biblicaltheology.org/ent.pdf,,,,,,,,,,,,,,,,,,,,,Lu Zhu in my_edit_zh,
  VIII. The Judgment The judgment takes place on a “day” (Matthew 7:22; 10:15; 24:36; Luke 10:12; 21:34; 1 Corinthians 1:8; 3:13; 2 Timothy 4:8; Revelation 6:17), but this rests on the Old Testament conception of “the day of Yahweh,” and is not to be taken literally, whence also “hour” interchanges with “day” (Mark 13: 32; Revelation 14:7). While not confined to an astronomical day the judgment is plainly represented as a definitely circumscribed transaction," not as an indefinite process. It coinc …""",gpt-5,v1,2025-12-16T06:03:40-05:00,ok,,,,,,,,,,,,,,
1Cor 1:20,1Cor,1,20,20,,智慧人在那裏？文士在那裏？這世上的辯士在那裏？神豈不是叫這世上的智慧變成愚拙嗎？,0,"The excerpt only lists 1 Corinthians 1:20 among passages referring to “this present age,” without providing any specific explanation of the verse.",该段只是将林前1:20列为“今世”的经文例证，没有对该节作具体释义。,[],[],ent — https://www.biblicaltheology.org/ent.pdf,"- para_id=162, p_index=6: Mentions 1 Cor 1:20 in a catalog of texts about “this age,” but offers no direct commentary on the verse itself.",,,,,,,,,
  ent | https://www.biblicaltheology.org/ent.pdf,,,,,,,,,,,,,,,,,,,,,,
  III. Course of Development In New Testament eschatological teaching a general development in a well-defined direction is traceable. The starting-point is the historico-dramatic conception of the two successive ages. These two ages are distinguished as houtos ho aion, ho nun aion, ho enesios aion, “this age,” “the present age” (Matthew 12:32; 13:22; Luke 16:8; Romans 12:2; 1 Corinthians 1:20; 2:6," 8; 3:18; 2 Corinthians 4:4; Galatians 1:4; Ephesians 1:21; 2:2; 6:12; 1 Timothy 6:17; 2 Timothy 4:10 …""",gpt-5,v1,2025-12-16T06:04:08-05:00,ok,,,,,,,,,,,,,
1Cor 1:30,1Cor,1,30,30,,但你們得在基督耶穌裏，是本乎神，神又使他成為我們的智慧、公義、聖潔、救贖。,1,"The author situates Paul’s “redemption” language in the commercial-forensic sphere, rooted in the Old Testament notion of God reclaiming His own possession. He notes an eschatological use of “redemption” (e.g., Rom 8:23) and suggests that in 1 Cor 1:30, where “redemption” is coordinated with “righteousness” and “sanctification,” it likely refers to the final step in the believer’s subjective salvation (the consummating/eschatological stage), though he states this tentatively.",作者将保罗的“救赎”置于“商业-法庭”的表述范畴，其背景源自旧约上帝以主权与所有权“赎回”自己子民的概念。他指出“救赎”在保罗书信中带有末世性的用法（如罗8:23），并且推测在林前1:30里，“救赎”与“公义、成圣”并列，极可能指信徒主观得救过程中的最后一步（终末性的成全/荣耀），不过此结论带有谨慎的试探性。,"[""Paul’s redemption terminology is drawn from OT ransom/ownership imagery and belongs to a commercial-forensic model."", ""There is a clear eschatological usage of “redemption” (e.g., Rom 8:23)."", ""In 1 Cor 1:30, the term “redemption,” alongside righteousness and sanctification, likely denotes the final, consummating stage of salvation (suggested tentatively).""]","[""保罗“救赎”的语汇出自旧约的赎价/所有权意象，属商业-法庭式的表述。"", ""“救赎”在保罗处有明显的末世性用法（如罗8:23）。"", ""在林前1:30中，“救赎”与“公义、成圣”并列，很可能指得救过程的最后、终成的一步（作者持谨慎态度提出）。""]",pcred — https://www.biblicaltheology.org/pcred.pdf,"- para_id=518, p_index=1: Explicitly mentions 1 Cor 1:30 and proposes that “redemption” there likely denotes the final step in subjective salvation, set within Paul’s OT-rooted redemption terminology and its eschatological usage.",,,,,,,,,
