ref,model,prompt_version,book_osis,chapter,verse_start,verse_end,kjv_text,cuv_text,final_en,final_zh,has_commentary,keep_drop,notes,status,cited_para_ids
1Cor 1:8,gpt-5,v1,1Cor,1,8,8,,他也必堅固你們到底，叫你們在我們主耶穌基督的日子無可責備。,"The phrase “the day of our Lord Jesus Christ” in 1 Cor 1:8 is identified with the Old Testament “day of Yahweh,” now applied to Christ. In the New Testament this “day” functions as a synonym for the eschatological judgment, coincides with Christ’s parousia, and denotes a definite, climactic event rather than a literal 24-hour day. The judgment is portrayed as God’s work and also Christ’s, hence the expression “day of the Lord (Jesus).”",林前1:8中的“我们主耶稣基督的日子”承接旧约“耶和华的日子”的概念，并在新约中应用于基督。此“日子”等同于末世审判之日，与基督的再临相吻合，是一个明确界定的终局性事件，而非必然指24小时的一天。新约将审判既归于神也归于基督，因此称为“主（耶稣基督）的日子”。,1,,,ok,"[166, 190]"
1Cor 1:20,gpt-5,v1,1Cor,1,20,20,,智慧人在那裏？文士在那裏？這世上的辯士在那裏？神豈不是叫這世上的智慧變成愚拙嗎？,"The excerpt only lists 1 Corinthians 1:20 among passages referring to “this present age,” without providing any specific explanation of the verse.",该段只是将林前1:20列为“今世”的经文例证，没有对该节作具体释义。,0,,,ok,[162]
1Cor 1:30,gpt-5,v1,1Cor,1,30,30,,但你們得在基督耶穌裏，是本乎神，神又使他成為我們的智慧、公義、聖潔、救贖。,"The author situates Paul’s “redemption” language in the commercial-forensic sphere, rooted in the Old Testament notion of God reclaiming His own possession. He notes an eschatological use of “redemption” (e.g., Rom 8:23) and suggests that in 1 Cor 1:30, where “redemption” is coordinated with “righteousness” and “sanctification,” it likely refers to the final step in the believer’s subjective salvation (the consummating/eschatological stage), though he states this tentatively.",作者将保罗的“救赎”置于“商业-法庭”的表述范畴，其背景源自旧约上帝以主权与所有权“赎回”自己子民的概念。他指出“救赎”在保罗书信中带有末世性的用法（如罗8:23），并且推测在林前1:30里，“救赎”与“公义、成圣”并列，极可能指信徒主观得救过程中的最后一步（终末性的成全/荣耀），不过此结论带有谨慎的试探性。,1,,,ok,[518]
1Cor 2:4,gpt-5,v1,1Cor,2,4,4,,我說的話、講的道，不是用智慧委婉的言語，乃是用聖靈和大能的明證，,"The excerpt uses 1 Corinthians 2:4 to show that the Holy Spirit is the agent who represents and demonstrates God’s power. Paul’s preaching was marked not by human eloquence but by the Spirit’s power, illustrating divine omnipotence manifested through the Spirit.",摘录以哥林多前书2:4说明：圣灵是执行并彰显神能力的位格。保罗的讲道不是靠人的智慧或口才，而是靠圣灵与能力的明证，体现了神全能借圣灵的作为而显明。,1,keep,,ok,[441]
1Cor 2:6,gpt-5,v1,1Cor,2,6,6,,然而，在完全的人中，我們也講智慧。但不是這世上的智慧，也不是這世上有權有位、將要敗亡之人的智慧。,"The paragraph uses 1 Cor 2:6 (“among the perfect/mature”) to argue that Paul’s gospel has a distinctly theological, cognitive character for all believers, even though he does articulate a deeper “wisdom” for the mature. Terms like gnosis/epignosis can denote advanced understanding for the mature, yet they also describe the common knowledge of the gospel. Paul teaches with ordered method and views the gospel as objective truth requiring enlightened understanding; this unified knowledge centers on God and Christ. Thus, 1 Cor 2:6 does not imply an esoteric, separate theology for an elite, but a deeper level within the same coherent system.",本段以林前2:6中“在完全（成熟）的人中讲智慧”为依据，指出保罗的信息本质上具有神学性与认知性：虽对“成熟的人”有更深的“智慧”，但同样的真理体系也临到所有信徒。诸如“知识/真知识”（gnosis/epignosis）既可指成熟者更深的认识，也可指普遍的福音认知。保罗按有次序的方法教导，把福音视为要求心智顺服的客观真理，且其统一性以神与基督为中心。因此，林前2:6并非支持某种仅供精英的秘传神学，而是同一连贯体系中之更深层次。,1,,,ok,[725]
1Cor 2:8,gpt-5,v1,1Cor,2,8,8,,這智慧世上有權有位的人沒有一個知道的、他們若知道，就不把榮耀的主釘在十字架上了。,"The author briefly uses 1 Cor 2:8–9 to argue that Paul seems to include superhuman spiritual powers among those involved in Christ’s crucifixion. These “rulers” function as adversaries of God and Christ, not as God’s agents executing the law’s curse. Therefore, 1 Cor 2:8 does not support the idea that angels mediated the curse of the law (and should not be combined with Gal 3:13,19 to make that case).",作者简要指出，林前2:8–9显示保罗似乎认为有超自然的属灵权势参与了对基督的钉十字架；这些“有权有位的”是神与基督的对头，而非代表神执行律法咒诅的使者。因此，林前2:8不能用来支持“天使为律法咒诅的中介”，也不应与加3:13、19结合来论证这一点。,1,,,ok,[520]
1Cor 2:12,gpt-5,v1,1Cor,2,12,12,,我們所領受的，並不是世上的靈，乃是從神來的靈，叫我們能知道神開恩賜給我們的事。,"Paul’s contrast between “the spirit of the world” and “the Spirit from God” shows that the Spirit is not only the agent of revelation but the determinative power of the new, eschatological order; only those who already share in this future-age life by the Spirit can know the gracious gifts God has given. The “spirit of the world” may denote a real transcendent influence governing the psychical (natural) man and possibly linked with the rulers of this age. Parallel texts (2 Cor 4:4; Eph 2:2) suggest a counter‑spirit that blinds unbelievers, reinforcing the eschatological opposition inherent in 1 Cor 2:12.",保罗在1林2:12中将“世上的灵”与“从神来的灵”相对，表明圣灵不仅是启示的媒介，更是新末世秩序的决定性原则；惟有在圣灵里已分得“将来之世”生命的人，才能认识神白白赐给我们的事。“世上的灵”可能指一种超越性的影响，治理“属魂的人”，并或与“今世的执政者”有关。平行经文（林后4:4；弗2:2）显示一种对抗的“灵”使不信者心眼昏瞎，从而加强了1林2:12中两种灵之间的末世性对立。,1,,,ok,"[141, 142]"
1Cor 2:14,gpt-5,v1,1Cor,2,14,14,,然而，屬血氣的人不領會神聖靈的事，反倒以為愚拙，並且不能知道，因為這些事惟有屬靈的人纔能看透。,"The verse is used to argue that the unspiritual (natural) person cannot grasp the things of the Spirit; therefore regeneration by the Holy Spirit is necessary to understand and rightly interpret Scripture. Because sinful humans resist God’s Word, they tend to distort it to fit their own systems (e.g., Pharisees on works-righteousness; Sadducees denying the resurrection). Scripture is God’s self-revelation, so we must not place other authorities alongside or above it, nor spiritualize/rationalize texts to suit ourselves.",该节被用来说明：属血气的人不能领会圣灵的事，因此正确理解与诠释圣经需要圣灵的重生/更新。因人的罪性抗拒神的话，容易把经文扭曲以配合人的体系（如法利赛人以行为称义、撒都该人否认复活）。圣经是神的自我启示，不可把其他权威与圣经并列或高于圣经，也不可随意属灵化或理性化经文以迎合自己。,1,,,ok,"[239, 266, 342, 369]"
1Cor 3:8,gpt-5,v1,1Cor,3,8,8,,栽種的和澆灌的，都是一樣，但將來各人要照自己的工夫得自己的賞賜。,"The excerpt uses 1 Corinthians 3:8 (with 3:14) to support that, at the last judgment, believers’ works will be evaluated and will serve as the measure of gracious reward—“each will receive his own reward according to his own labor.” This reward principle does not contradict justification; the judgment is public and concerns works as the outworking of faith. Such rewards are not computed mechanically or commercially; Paul views “work” organically, rooted in faith, and some works may be disapproved while salvation remains (cf. 3:15).",本文以林前3:8（并及3:14）说明：在末日的审判中，信徒的行为要被审查，并作为恩典性赏赐的尺度——“各人要照自己的工夫得自己的赏赐。”这并不否定因信称义；末日审判具有公开性，所审的是信心所结出的“工作”。这种赏赐并非机械或交易式的计算；保罗将“工作”视为出自信心的有机整体，即使有些工作受责难，仍可能不致失落救恩（参3:15）。,1,,,ok,[191]
1Cor 3:13,gpt-5,v1,1Cor,3,13,13,,各人的工程必然顯露，因為那日子要將他表明出來，有火發現；這火要試驗各人的工程怎樣。,"The paragraph uses 1 Corinthians 3:13 to support Paul’s teaching that the last judgment is a public manifestation: every person’s work will be revealed and tested. Even believers’ works will be examined—there can be disapproval of works yet salvation (cf. 3:15)—and works serve as the measure of gracious reward (cf. 3:8, 14). Paul’s use of “work” in the singular (including 3:13) stresses an organic whole of life rather than a mechanical tally of deeds. The public testing of works serves the vindication of God’s righteousness.","该段以林前3:13说明：末日审判具有公开性——各人的工程都要显露并受火试验。即便信徒的工程也要受审查；工程可能被否定，但人仍得救（参3:15）；而工程也成为恩典赏赐的尺度（参3:8,14）。保罗在多处（含林前3:13）以“工程/工作”用单数，强调生命整体性的“工程”，而非机械计分。公开试验工程旨在彰显并维护神的公义。",1,,,ok,[191]
